Model,Best Params,CV Train R2,CV Val R2,Test R2,Test MAE,Test RMSE
GradientBoosting,"{'model__subsample': 0.7, 'model__n_estimators': 800, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 8, 'model__loss': 'huber', 'model__learning_rate': 0.1}",0.9957297293007243,0.741358677980276,0.8307904337091268,0.15197035482893054,0.26779105749627585
XGBRegressor,"{'model__subsample': 1.0, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0, 'model__colsample_bytree': 0.5}",0.9989068035166154,0.7379213041469307,0.8447738442441889,0.15261684726892727,0.25648741772721967
RandomForestRegressor,"{'model__n_estimators': 800, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 30}",0.9593498161933842,0.7084661299948785,0.8165386989742001,0.17129227537025649,0.27884049730402505
MLPRegressor,"{'model__solver': 'adam', 'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (256, 128, 64), 'model__batch_size': 32, 'model__alpha': 1e-05, 'model__activation': 'relu'}",0.9146661346577952,0.6612708987145529,0.7968746999190112,0.1744861866817597,0.29340372554468375
