iteration,cv_r2,test_r2,real_cv_r2,real_test_r2
1,-0.48238410142686783,-0.5186879313957939,0.741358677980276,0.8307904337091268
2,-0.46592602012755935,-0.4160432076222964,0.741358677980276,0.8307904337091268
3,-0.36213067686980577,-0.6434585222507061,0.741358677980276,0.8307904337091268
4,-0.5563596558743308,-0.3036099600149216,0.741358677980276,0.8307904337091268
5,-0.5373412426890629,-0.45012783192688377,0.741358677980276,0.8307904337091268
6,-0.5307164142224636,-0.4514735909888048,0.741358677980276,0.8307904337091268
7,-0.5246941214223355,-0.5387136326789141,0.741358677980276,0.8307904337091268
8,-0.3729341802805225,-0.19580967035223784,0.741358677980276,0.8307904337091268
9,-0.5664415291044331,-0.5350951514188795,0.741358677980276,0.8307904337091268
10,-0.5500325169023361,-0.46254582657536103,0.741358677980276,0.8307904337091268
11,-0.5061030407172863,-0.48120246740905737,0.741358677980276,0.8307904337091268
12,-0.5340824734628892,-0.5160309402314127,0.741358677980276,0.8307904337091268
13,-0.4751866890934341,-0.49504213687642595,0.741358677980276,0.8307904337091268
14,-0.5204994715574851,-0.38869461297502816,0.741358677980276,0.8307904337091268
15,-0.5125121681170254,-0.5231031345482164,0.741358677980276,0.8307904337091268
16,-0.49052824392816985,-0.4029049106414455,0.741358677980276,0.8307904337091268
17,-0.4786818508418259,-0.4070293620216352,0.741358677980276,0.8307904337091268
18,-0.4029484057076863,-0.46116894657215823,0.741358677980276,0.8307904337091268
19,-0.4489855510465014,-0.27691371630115524,0.741358677980276,0.8307904337091268
20,-0.5141007013358966,-0.4255987282190692,0.741358677980276,0.8307904337091268
21,-0.3724869571875997,-0.4260114537376958,0.741358677980276,0.8307904337091268
22,-0.40464501628758126,-0.3193707360603686,0.741358677980276,0.8307904337091268
23,-0.41442524973590855,-0.4151816186769697,0.741358677980276,0.8307904337091268
24,-0.5291575106129967,-0.4223836650756776,0.741358677980276,0.8307904337091268
25,-0.41302552354335964,-0.47935808503822996,0.741358677980276,0.8307904337091268
26,-0.38732352281470617,-0.530158269601902,0.741358677980276,0.8307904337091268
27,-0.4654095848826726,-0.23705564483635277,0.741358677980276,0.8307904337091268
28,-0.516733988856507,-0.3627511434258599,0.741358677980276,0.8307904337091268
29,-0.5367340501007085,-0.5284283763507582,0.741358677980276,0.8307904337091268
30,-0.45858906130696253,-0.2668866090386044,0.741358677980276,0.8307904337091268
31,-0.5007590299907407,-0.45200081999904085,0.741358677980276,0.8307904337091268
32,-0.43579930465073974,-0.5142244736942698,0.741358677980276,0.8307904337091268
33,-0.44001209732404634,-0.5660837266596224,0.741358677980276,0.8307904337091268
34,-0.5317735850259451,-0.7554792405439721,0.741358677980276,0.8307904337091268
35,-0.630853445204418,-0.4523450025083964,0.741358677980276,0.8307904337091268
36,-0.5152205647105257,-0.6708928834038879,0.741358677980276,0.8307904337091268
