iteration,test_r2,best_val_loss,epochs,failed,real_test_r2
1,-0.01845166014159072,0.29133808612823486,42,0,0.7145833441701211
2,-0.02440598482411649,0.29544997215270996,34,0,0.7145833441701211
3,-0.04674323884210052,0.28864675760269165,44,0,0.7145833441701211
4,-0.042431133903993334,0.29455432295799255,33,0,0.7145833441701211
5,-0.05731801995853725,0.29322126507759094,36,0,0.7145833441701211
6,-0.04118770505907321,0.2928878664970398,39,0,0.7145833441701211
7,-0.02387167622630293,0.28894978761672974,36,0,0.7145833441701211
8,-0.02338374026248613,0.2904694378376007,52,0,0.7145833441701211
9,-0.03457290878024555,0.292746365070343,34,0,0.7145833441701211
10,-0.018478611734463746,0.2954340875148773,32,0,0.7145833441701211
11,-0.05299497390469421,0.2947440445423126,34,0,0.7145833441701211
12,-0.03828224661846402,0.2931726276874542,33,0,0.7145833441701211
13,-0.08375213734225073,0.29425883293151855,34,0,0.7145833441701211
14,-0.02332478795690518,0.29583919048309326,33,0,0.7145833441701211
15,-0.04101873460313521,0.29460814595222473,32,0,0.7145833441701211
16,-0.03302995727250835,0.2943825125694275,37,0,0.7145833441701211
17,-0.06765065495458722,0.2901214063167572,41,0,0.7145833441701211
18,-0.02248187377694366,0.29481080174446106,32,0,0.7145833441701211
19,-0.03868112020397252,0.2949986755847931,38,0,0.7145833441701211
20,-0.08037148629514612,0.293291836977005,32,0,0.7145833441701211
21,-0.03044834095296345,0.2930615544319153,36,0,0.7145833441701211
22,-0.025668620078540094,0.2929265797138214,32,0,0.7145833441701211
23,-0.030854734802148176,0.2960854172706604,43,0,0.7145833441701211
24,-0.022631163738813465,0.29861941933631897,34,0,0.7145833441701211
25,-0.03060590663525864,0.2910553216934204,43,0,0.7145833441701211
26,-0.032261734983255685,0.2962709665298462,32,0,0.7145833441701211
27,-0.022604787925355918,0.29701194167137146,31,0,0.7145833441701211
28,-0.05691020543782521,0.29361072182655334,53,0,0.7145833441701211
29,-0.007149893346565017,0.29262909293174744,31,0,0.7145833441701211
30,-0.027310407465565012,0.29102659225463867,36,0,0.7145833441701211
31,-0.03612531177897926,0.2917049527168274,47,0,0.7145833441701211
32,-0.008155589053583823,0.2932610809803009,32,0,0.7145833441701211
33,-0.05917644910573605,0.2926478981971741,38,0,0.7145833441701211
34,-0.007728286953096797,0.2927228510379791,31,0,0.7145833441701211
35,-0.005591996705398561,0.29513800144195557,34,0,0.7145833441701211
36,0.002393162141545724,0.2937687635421753,32,0,0.7145833441701211
37,-0.037194442529652205,0.292306512594223,35,0,0.7145833441701211
38,-0.03131341131494536,0.2949332296848297,41,0,0.7145833441701211
39,-0.024887182210697523,0.2967057526111603,31,0,0.7145833441701211
40,-0.018811575327148056,0.2956828773021698,38,0,0.7145833441701211
41,-0.027579830566086372,0.29399967193603516,31,0,0.7145833441701211
42,-0.02817635896001147,0.2933574318885803,43,0,0.7145833441701211
43,-0.05318189515695626,0.2933793365955353,31,0,0.7145833441701211
44,-0.003920354080494626,0.2932664453983307,36,0,0.7145833441701211
45,-0.0195492290760495,0.2920987606048584,32,0,0.7145833441701211
46,-0.044946118065123164,0.2921227812767029,38,0,0.7145833441701211
47,-0.026059212453947156,0.2902560532093048,44,0,0.7145833441701211
48,-0.05107421392656919,0.29412657022476196,33,0,0.7145833441701211
49,-0.008557080952776186,0.29621434211730957,33,0,0.7145833441701211
50,-0.01370450973384485,0.29531094431877136,31,0,0.7145833441701211
51,-0.04530342598703707,0.2947298288345337,33,0,0.7145833441701211
52,-0.09279465468848236,0.29781630635261536,36,0,0.7145833441701211
53,-0.029490583114294644,0.2952757477760315,31,0,0.7145833441701211
54,-0.0581572384379585,0.2955951690673828,39,0,0.7145833441701211
55,-0.01827946097846045,0.2930203378200531,32,0,0.7145833441701211
56,-0.017592304974308526,0.2927544116973877,33,0,0.7145833441701211
57,-0.04623557547190282,0.294810026884079,33,0,0.7145833441701211
58,0.030476885261726316,0.28993844985961914,34,0,0.7145833441701211
59,-0.03317338072039844,0.2952355146408081,39,0,0.7145833441701211
60,0.01236264331347725,0.2961157262325287,33,0,0.7145833441701211
61,-0.02861879102333531,0.2964315414428711,33,0,0.7145833441701211
62,0.0019898738028579777,0.2937381863594055,39,0,0.7145833441701211
63,-0.028730271060102508,0.29324254393577576,34,0,0.7145833441701211
64,-0.03742966955756688,0.2959423363208771,39,0,0.7145833441701211
65,-0.029629198762325393,0.2948493957519531,32,0,0.7145833441701211
66,-0.010663260922334494,0.29437071084976196,43,0,0.7145833441701211
67,-0.025212370433491227,0.3002418279647827,31,0,0.7145833441701211
68,-0.05063008502069155,0.29455819725990295,36,0,0.7145833441701211
69,-0.04658586480136506,0.2936594784259796,39,0,0.7145833441701211
70,-0.0667998474345326,0.2968654930591583,34,0,0.7145833441701211
71,-0.056183626318402125,0.2923867404460907,37,0,0.7145833441701211
72,-0.03073078466957946,0.2894150912761688,34,0,0.7145833441701211
73,-0.02398369211015816,0.294930100440979,33,0,0.7145833441701211
74,-0.02789904612774885,0.29497164487838745,33,0,0.7145833441701211
75,-0.08152684110502406,0.28867873549461365,44,0,0.7145833441701211
76,-0.10467573282586695,0.2922682762145996,36,0,0.7145833441701211
77,0.0037735099762389313,0.29254189133644104,32,0,0.7145833441701211
78,-0.026396800961127065,0.29555466771125793,35,0,0.7145833441701211
79,-0.02418311703151943,0.2937939763069153,39,0,0.7145833441701211
80,-0.026784231611914455,0.2956409752368927,32,0,0.7145833441701211
81,-0.02498948446195981,0.2945299744606018,34,0,0.7145833441701211
82,-0.0494649199204531,0.2942255735397339,32,0,0.7145833441701211
83,-0.021578777080771605,0.2940753996372223,36,0,0.7145833441701211
84,-0.0023751448581426082,0.29226621985435486,41,0,0.7145833441701211
85,-0.05115525599469928,0.29683423042297363,33,0,0.7145833441701211
86,-0.053007405622305104,0.2929077744483948,31,0,0.7145833441701211
87,-0.022323101427134784,0.29210013151168823,35,0,0.7145833441701211
88,-0.018195089114188434,0.29308485984802246,34,0,0.7145833441701211
89,-0.04243317670311342,0.29679733514785767,32,0,0.7145833441701211
90,-0.027186600801995864,0.2956405580043793,35,0,0.7145833441701211
91,-0.03466067797171357,0.29407191276550293,32,0,0.7145833441701211
92,-0.022210453593068724,0.2942136526107788,39,0,0.7145833441701211
93,-0.07208225702979343,0.28949281573295593,39,0,0.7145833441701211
94,-0.02062638094074387,0.2936716079711914,32,0,0.7145833441701211
95,-0.04375265661548022,0.29450854659080505,33,0,0.7145833441701211
96,-0.09853751699264879,0.2890462875366211,38,0,0.7145833441701211
97,-0.01730037243952154,0.2958161532878876,31,0,0.7145833441701211
98,-0.010065854747122405,0.29403766989707947,36,0,0.7145833441701211
99,-0.08491994462526065,0.2921418845653534,44,0,0.7145833441701211
100,-0.007015213394999886,0.29442620277404785,34,0,0.7145833441701211
