run,seed,val_loss,R2,MAE,RMSE
1,42,0.1052526980638504,0.7145833441701211,0.20975811928327506,0.3477949492191246
2,49,0.10136083513498306,0.7598167017811523,0.21003932819755528,0.3190472578264823
3,56,0.09927665442228317,0.7145595526685362,0.21603142105259748,0.3478094445043294
4,63,0.09721086919307709,0.6534290355200153,0.21853427959736735,0.383247827433163
5,70,0.08583130687475204,0.7643671417599665,0.20751957387454972,0.31601051943814396
6,77,0.09747578203678131,0.6977791576814073,0.21559160745678468,0.3578869148896221
7,84,0.09154827892780304,0.7471618120318351,0.2136229192203398,0.3273444248860951
8,91,0.08229003846645355,0.756687702503555,0.21170132179065604,0.3211187347122602
