run,seed,val_loss,R2,MAE,RMSE
1,42,0.3336673676967621,0.7845169839687837,0.18134046501180184,0.30219699181972526
2,49,0.3312041759490967,0.8072353772801266,0.1744639815365685,0.285823070528831
3,56,0.3185754418373108,0.8144044658117615,0.17791978865921304,0.28045770451453994
4,63,0.33531177043914795,0.7913896319343282,0.18543068927884804,0.29733878248104617
5,70,0.3215305209159851,0.814792368026778,0.1682195967724987,0.2801644672103025
6,77,0.3082745671272278,0.7939860106691041,0.18568966626035202,0.29548263969081573
7,84,0.32973796129226685,0.7848756616534288,0.1887387986803242,0.3019453792749748
8,91,0.3255499303340912,0.7858806763687335,0.18731115961981148,0.30123924159080856
