Model,Best Params,CV Train R2,CV Val R2,Test R2,Test MAE,Test RMSE
GradientBoosting,"{'model__subsample': 0.6, 'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 8, 'model__loss': 'squared_error', 'model__learning_rate': 0.1}",0.9979964683535035,0.7431501891654877,0.8289803983305145,0.15241226474256236,0.2692195285515714
XGBRegressor,"{'model__subsample': 0.6, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.01, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0.01, 'model__colsample_bytree': 0.6}",0.9873482347605591,0.7246234533853015,0.8268306805293784,0.16627537760624161,0.2709062902980496
RandomForestRegressor,"{'model__n_estimators': 800, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 30}",0.9607759800556771,0.7164502571873739,0.8096714273679562,0.1657921333374773,0.2840112932619731
MLPRegressor,"{'model__solver': 'adam', 'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64, 32, 16), 'model__batch_size': 32, 'model__alpha': 0.05, 'model__activation': 'relu'}",0.856611736411209,0.6118819400828862,0.7121086833815529,0.23073865629129395,0.3492994461775721
