iteration,cv_r2,test_r2,real_cv_r2,real_test_r2
1,-0.5296035761792323,-0.5181402103372812,0.7431501891654877,0.8289803983305145
2,-0.5292851836893453,-0.5087171280247429,0.7431501891654877,0.8289803983305145
3,-0.4627089421902735,-0.5941984790258596,0.7431501891654877,0.8289803983305145
4,-0.6126445242547507,-0.4159701609804023,0.7431501891654877,0.8289803983305145
5,-0.5862851576533424,-0.4981614481055452,0.7431501891654877,0.8289803983305145
6,-0.5668307638782504,-0.5262646564815652,0.7431501891654877,0.8289803983305145
7,-0.633249415931072,-0.6117048548313997,0.7431501891654877,0.8289803983305145
8,-0.49233580538359406,-0.11240972305489039,0.7431501891654877,0.8289803983305145
9,-0.6228594547325299,-0.5591522349497338,0.7431501891654877,0.8289803983305145
10,-0.6168885631473737,-0.4183836491266295,0.7431501891654877,0.8289803983305145
11,-0.5678977615005033,-0.5681645547836032,0.7431501891654877,0.8289803983305145
12,-0.5471357714659784,-0.5913758508067017,0.7431501891654877,0.8289803983305145
13,-0.6162255885426333,-0.5103688304260039,0.7431501891654877,0.8289803983305145
14,-0.6830740373104343,-0.5663442920805686,0.7431501891654877,0.8289803983305145
15,-0.5830940128467293,-0.6292674253483268,0.7431501891654877,0.8289803983305145
16,-0.4601493522268001,-0.3207734773925017,0.7431501891654877,0.8289803983305145
17,-0.5703815659941344,-0.33549468178753994,0.7431501891654877,0.8289803983305145
18,-0.47132163618349826,-0.5285661612114996,0.7431501891654877,0.8289803983305145
19,-0.44535748842581696,-0.3503292178361137,0.7431501891654877,0.8289803983305145
20,-0.5913465206280774,-0.5322626202925891,0.7431501891654877,0.8289803983305145
21,-0.4395805593450025,-0.4953239793274078,0.7431501891654877,0.8289803983305145
22,-0.45764573165953487,-0.38623169091731646,0.7431501891654877,0.8289803983305145
23,-0.5119149779736826,-0.5494578174081108,0.7431501891654877,0.8289803983305145
24,-0.6205729534986576,-0.4380749770223338,0.7431501891654877,0.8289803983305145
25,-0.5055088318447961,-0.5399228110020327,0.7431501891654877,0.8289803983305145
26,-0.46302885849364916,-0.5191760047615468,0.7431501891654877,0.8289803983305145
27,-0.6140450349878223,-0.2994002937364597,0.7431501891654877,0.8289803983305145
28,-0.6095933849228107,-0.44747036507298477,0.7431501891654877,0.8289803983305145
29,-0.6775733767536785,-0.6166675985574075,0.7431501891654877,0.8289803983305145
30,-0.5545493315462531,-0.43469843945772824,0.7431501891654877,0.8289803983305145
31,-0.5483880264668594,-0.5386589588291208,0.7431501891654877,0.8289803983305145
32,-0.5643716856759451,-0.5487810016197112,0.7431501891654877,0.8289803983305145
33,-0.5732287339956391,-0.5745752630142249,0.7431501891654877,0.8289803983305145
34,-0.6391863515362454,-0.9242470563846696,0.7431501891654877,0.8289803983305145
35,-0.657043368765474,-0.4496876203718929,0.7431501891654877,0.8289803983305145
36,-0.6727607633785081,-0.5967827074091623,0.7431501891654877,0.8289803983305145
37,-0.6408914330500182,-0.6560072607522924,0.7431501891654877,0.8289803983305145
38,-0.6243132981488678,-0.5124091761503136,0.7431501891654877,0.8289803983305145
39,-0.5054850287985141,-0.48979453278125606,0.7431501891654877,0.8289803983305145
40,-0.4238817184138247,-0.6042850697993736,0.7431501891654877,0.8289803983305145
41,-0.6107116645960051,-0.44996048522223053,0.7431501891654877,0.8289803983305145
42,-0.526813223190634,-0.6298853875067647,0.7431501891654877,0.8289803983305145
43,-0.5833748451132308,-0.5962521737620534,0.7431501891654877,0.8289803983305145
44,-0.594357583323277,-0.5789786293400918,0.7431501891654877,0.8289803983305145
45,-0.4440572326816886,-0.4454267231996294,0.7431501891654877,0.8289803983305145
46,-0.578470525714764,-0.4785754909446269,0.7431501891654877,0.8289803983305145
47,-0.5132732614485714,-0.334218801266011,0.7431501891654877,0.8289803983305145
48,-0.5349662523553093,-0.5082246987828947,0.7431501891654877,0.8289803983305145
49,-0.6052413776313379,-0.4012178305607552,0.7431501891654877,0.8289803983305145
50,-0.5258738714962258,-0.6486210705281925,0.7431501891654877,0.8289803983305145
51,-0.5634928786678384,-0.5721255641065821,0.7431501891654877,0.8289803983305145
52,-0.5969979734497523,-0.5382227912227688,0.7431501891654877,0.8289803983305145
53,-0.49235033651224036,-0.6383739759910605,0.7431501891654877,0.8289803983305145
54,-0.5416905552058442,-0.5915259890913782,0.7431501891654877,0.8289803983305145
55,-0.5836330020991122,-0.5293085689187746,0.7431501891654877,0.8289803983305145
56,-0.5457468764374072,-0.5716288520669153,0.7431501891654877,0.8289803983305145
57,-0.5106833362372594,-0.445202653070218,0.7431501891654877,0.8289803983305145
58,-0.625587175114085,-0.25675268435574616,0.7431501891654877,0.8289803983305145
59,-0.49771545694780056,-0.34005395885057155,0.7431501891654877,0.8289803983305145
60,-0.4287778071288276,-0.6612044387318552,0.7431501891654877,0.8289803983305145
61,-0.6350361253267808,-0.7927537397917677,0.7431501891654877,0.8289803983305145
