run,ga_n_features,ga_cv_r2,ga_test_r2,ga_test_mae,ga_test_rmse,rfecv_n_features,rfecv_best_cv_r2,cv_full_mean,cv_selected_mean,sklearn_best_cv_model,sklearn_best_cv_r2,sklearn_best_cv_test_r2,sklearn_best_test_model,sklearn_best_test_r2,sklearn_best_test_mae,sklearn_best_test_rmse,dnn_best_r2,dnn_best_mae,dnn_best_rmse,dnn_mean_r2,dnn_std_r2,sklearn_y_p_cv,sklearn_y_p_test,dnn_y_p
pre_performance,36,0.4264,0.8085,0.1682,0.2849,30,0.7086,0.7147,0.7145,GradientBoosting,0.7463980953610119,0.8538464835512931,GradientBoosting,0.8538464835512931,0.1426057415447008,0.2488789974082933,0.7935963993586093,0.178965739421394,0.2957619144144752,0.7610078443462881,0.018420715328753636,0.0099,0.0099,0.009901
pre_physics,23,0.2172,0.2636,0.3837,0.5586,9,0.7028,0.7026,0.7072,GradientBoosting,0.7385739820798657,0.8519833499189866,GradientBoosting,0.8519833499189866,0.1444527487098346,0.2504603018336764,0.7643671417599665,0.2075195738745497,0.3160105194381439,0.7260480560145737,0.03593280269608442,0.0099,0.0099,0.009901
post_performance,30,0.406,0.8288,0.1662,0.2694,10,0.716,0.7229,0.7253,GradientBoosting,0.7377201051933069,0.8443351499749184,GradientBoosting,0.8443351499749184,0.1445957658313641,0.2568495995137338,0.814792368026778,0.1682195967724987,0.2801644672103025,0.7971351469641306,0.012202077741915293,0.0099,0.0099,0.009901
post_physics,28,0.2104,0.2701,0.3827,0.5562,9,0.7054,0.7069,0.7037,GradientBoosting,0.7431501891654877,0.8289803983305145,GradientBoosting,0.8289803983305145,0.1524122647425623,0.2692195285515714,0.7423231118477951,0.2040382724082809,0.3304618635718678,0.7070120815028083,0.028676984512965877,0.0099,0.0099,0.009901
