run,seed,val_loss,R2,MAE,RMSE
1,42,0.1348978579044342,0.7264215024945287,0.2111257353997461,0.3405058629519664
2,49,0.12434136122465134,0.7749043238509203,0.18063533930546685,0.30886392811905167
3,56,0.12232434004545212,0.7670111306915331,0.18738987570879959,0.3142325726176881
4,63,0.13111512362957,0.7481625120729035,0.19380259712088785,0.3266959897183787
5,70,0.1279994398355484,0.758198335741008,0.19046989297520023,0.320120330759672
6,77,0.1289057731628418,0.7649725343653868,0.18799141983837916,0.31560430811669143
7,84,0.1307433843612671,0.7935963993586093,0.178965739421394,0.29576191441447525
8,91,0.12581351399421692,0.7547960161954148,0.20124952570186017,0.3223646227887667
