iteration,test_r2,best_val_loss,epochs,failed,real_test_r2
1,-0.02283316801099522,0.3329181969165802,54,0,0.7264215024945287
2,-0.06741014344922669,0.3274019956588745,66,0,0.7264215024945287
3,-0.13439049349011056,0.32733625173568726,63,0,0.7264215024945287
4,-0.02193469797828551,0.3388163447380066,48,0,0.7264215024945287
5,-0.08919319729730835,0.3300890326499939,70,0,0.7264215024945287
6,-0.04648367982741464,0.32493966817855835,74,0,0.7264215024945287
7,-0.0724738375421663,0.32112765312194824,58,0,0.7264215024945287
8,-0.03363910781390578,0.33062925934791565,54,0,0.7264215024945287
9,-0.0427359768904112,0.33135637640953064,51,0,0.7264215024945287
10,0.02677387920405183,0.32820844650268555,68,0,0.7264215024945287
11,-0.04648824307258148,0.3274904489517212,56,0,0.7264215024945287
12,-0.09438335917739771,0.3206474483013153,67,0,0.7264215024945287
13,-0.0941479325475203,0.3237767517566681,61,0,0.7264215024945287
14,-0.05281884764343392,0.32187214493751526,56,0,0.7264215024945287
15,-0.028708403630618662,0.33212748169898987,60,0,0.7264215024945287
16,-0.041501853847157655,0.32021692395210266,57,0,0.7264215024945287
17,-0.014820181181642633,0.33632493019104004,65,0,0.7264215024945287
18,-0.0005258281440250201,0.3365905284881592,50,0,0.7264215024945287
19,-0.048453271805876774,0.3229275345802307,77,0,0.7264215024945287
20,-0.0030001373955421684,0.32763949036598206,63,0,0.7264215024945287
21,-0.10413279941919762,0.33088377118110657,66,0,0.7264215024945287
22,-0.08367238243934794,0.32501792907714844,70,0,0.7264215024945287
23,-0.042044128534949765,0.3325731158256531,63,0,0.7264215024945287
24,-0.051696543201861234,0.33183571696281433,53,0,0.7264215024945287
25,-0.05347947273833564,0.32099971175193787,78,0,0.7264215024945287
26,-0.06103785825940422,0.31967177987098694,67,0,0.7264215024945287
27,-0.025098577551066814,0.33523112535476685,57,0,0.7264215024945287
28,-0.10420991676241353,0.3185514211654663,72,0,0.7264215024945287
29,-0.016948692800234477,0.33573001623153687,54,0,0.7264215024945287
30,-0.09056425126150192,0.31925904750823975,73,0,0.7264215024945287
31,-0.057710754344938664,0.32749322056770325,61,0,0.7264215024945287
32,-0.048436001657076844,0.3257046639919281,57,0,0.7264215024945287
33,-0.13485366189622505,0.33209359645843506,58,0,0.7264215024945287
34,-0.09581707534942918,0.33217480778694153,67,0,0.7264215024945287
35,-0.044874249268411326,0.32147538661956787,75,0,0.7264215024945287
36,-0.016863044574042307,0.3246791958808899,64,0,0.7264215024945287
37,-0.06702144229241358,0.3198992908000946,71,0,0.7264215024945287
38,-0.08219605619187287,0.32484549283981323,54,0,0.7264215024945287
39,-0.036333719941262776,0.32912677526474,51,0,0.7264215024945287
40,0.01657272353638095,0.33013659715652466,57,0,0.7264215024945287
41,-0.10965313410444799,0.3304697573184967,59,0,0.7264215024945287
42,-0.05773553004030041,0.3345155715942383,61,0,0.7264215024945287
43,-0.09818620341214368,0.3276963531970978,60,0,0.7264215024945287
44,-0.04683669689024694,0.3284178376197815,63,0,0.7264215024945287
45,-0.08684418833841612,0.3378828763961792,47,0,0.7264215024945287
46,-0.04943681383011156,0.3168736696243286,69,0,0.7264215024945287
47,-0.02637813604551975,0.31560876965522766,72,0,0.7264215024945287
48,-0.049544499160845135,0.32938578724861145,68,0,0.7264215024945287
49,-0.0014960543121165237,0.32072189450263977,51,0,0.7264215024945287
50,0.009450027230274882,0.3256864547729492,64,0,0.7264215024945287
51,-0.01452272455662773,0.33366379141807556,61,0,0.7264215024945287
52,-0.09066949731723128,0.33104071021080017,67,0,0.7264215024945287
53,-0.03011289853841581,0.32029908895492554,75,0,0.7264215024945287
54,-0.05161438684733888,0.3274397552013397,65,0,0.7264215024945287
55,-0.09347027081959336,0.3386476933956146,54,0,0.7264215024945287
56,-0.04211719235460376,0.3206174671649933,74,0,0.7264215024945287
57,-0.0776549707904457,0.33080998063087463,60,0,0.7264215024945287
58,-0.059408149031416446,0.3226660490036011,66,0,0.7264215024945287
59,-0.061289168423465545,0.3274082541465759,59,0,0.7264215024945287
60,0.010062781142940014,0.3346230089664459,72,0,0.7264215024945287
61,-0.03409164553884203,0.3364235460758209,57,0,0.7264215024945287
62,0.012396502264876985,0.331424355506897,74,0,0.7264215024945287
63,-0.013277657398415466,0.32324549555778503,75,0,0.7264215024945287
64,-0.06671274788425352,0.3467259705066681,55,0,0.7264215024945287
65,0.00031988789412396024,0.32689183950424194,65,0,0.7264215024945287
66,-0.020045694902471434,0.32374730706214905,67,0,0.7264215024945287
67,-0.04352406204047177,0.3315306603908539,63,0,0.7264215024945287
68,-0.050319093792841496,0.32376450300216675,69,0,0.7264215024945287
69,-0.07256107025358971,0.33794966340065,57,0,0.7264215024945287
70,-0.028999676962482512,0.34012678265571594,48,0,0.7264215024945287
71,-0.07002746782898228,0.338247150182724,70,0,0.7264215024945287
72,0.0010494197560000362,0.3217763304710388,59,0,0.7264215024945287
73,-0.031114091096833052,0.32169458270072937,63,0,0.7264215024945287
74,-0.07239684021075288,0.3260854482650757,63,0,0.7264215024945287
75,-0.06718113752126209,0.3189602196216583,65,0,0.7264215024945287
76,-0.10761493346038975,0.3263556957244873,63,0,0.7264215024945287
77,-0.015505102610212651,0.3205294609069824,66,0,0.7264215024945287
78,-0.011901884788320105,0.3268195390701294,48,0,0.7264215024945287
79,-0.037767832433122095,0.33861541748046875,42,0,0.7264215024945287
