gen,max_r2,avg_r2,std_r2,best_n_features,elapsed_sec
0,0.08643724213904158,-467645.9116680968,4653012.729645914,22,14.210826396942139
1,0.09404314511213863,-565622.5588019318,5627870.339584884,30,0.8552441596984863
2,0.09773295062780851,-0.13866241049224404,0.37975819537398053,24,0.8976612091064453
3,0.10209606656880392,-1038.5803772078905,10332.731494001207,23,0.8973286151885986
4,0.1486751678566273,-83372.2870868005,723752.7611944366,21,0.9874629974365234
5,0.15287872949453343,-0.07750653165310864,0.3887980362148137,26,1.1138660907745361
6,0.15547632846119844,-0.0731006380475149,0.4057007437206897,27,0.8033406734466553
7,0.16455385114626506,-0.16495776967810122,0.48284979615472634,29,1.0209059715270996
8,0.17381323454109834,-0.06628357526431175,0.4232112117656062,30,0.9018046855926514
9,0.18472408398172838,0.023702440702712303,0.3419250290417382,19,0.9935121536254883
10,0.18656234708988076,0.03746708841383048,0.34619277542179466,23,0.868222713470459
11,0.19331358735049423,-11258.873204146686,112023.74611252468,23,0.9657399654388428
12,0.19331358735049423,-0.04357801361114591,0.4484141060871964,23,0.875375509262085
13,0.19331358735049423,-0.026179859740148435,0.4409474818949521,23,0.9754657745361328
14,0.19420477124165206,0.052131161452459135,0.36999668987577977,24,1.1330578327178955
15,0.1960136989432917,0.03356967955118624,0.3995601583563163,25,0.9827902317047119
16,0.19894452047942782,0.1422803557271168,0.2332478338459223,23,1.1399822235107422
17,0.19894452047942782,-7772.430088742366,77334.95048336749,23,0.851377010345459
18,0.20137813903313564,0.11063693078559338,0.30474559185266903,30,1.098243236541748
19,0.20231753941486288,0.09875137223671483,0.3244543258663619,28,1.0212810039520264
20,0.20239046934182134,0.10123726819480357,0.32475442766628854,24,0.9892251491546631
21,0.20310345551233547,0.018820926285013723,0.4279952908668891,27,1.0405387878417969
22,0.20339625406510767,0.07870991400695827,0.35960627015579877,24,0.9142022132873535
23,0.2031674139981587,0.1635276097649147,0.20463768045186562,24,0.9605307579040527
24,0.2031674139981587,0.07807845537840245,0.35966209760962137,24,0.9605691432952881
25,0.20415161254683958,0.11626488946445791,0.30627854776984464,25,1.1017441749572754
26,0.20452271550767523,0.08139224405389368,0.3604754045313146,27,0.9857902526855469
27,0.21035429541908424,0.06990523355786432,0.37615620101187075,28,1.1046380996704102
28,0.20525199190640395,0.09466996393471909,0.3442784602373211,28,1.024139165878296
29,0.20525202645680105,0.09573028683265361,0.3445945614598426,28,0.9298503398895264
30,0.2052520792907456,0.0723287215057257,0.3769898689222704,28,1.0710563659667969
31,0.2052521613253598,0.07217616517134713,0.3769453825310958,28,1.0831804275512695
32,0.2052521613253598,0.08315987348001014,0.36119703850818674,28,1.01277756690979
33,0.20525216265382587,0.1080410926992152,0.32676032691021273,28,1.0722458362579346
34,0.20525223760112354,0.07233912481986976,0.37699578633999353,28,1.1459991931915283
35,0.2052522031599627,0.0725081739376127,0.3770543768364304,28,0.9959845542907715
36,0.20536322679938432,0.023739954338151827,0.43008617550394374,28,0.8943562507629395
37,0.20972475753880626,0.059450127305755565,0.3912643005672596,28,0.908179521560669
38,0.20536328051831265,0.03558589987301277,0.41787273353681376,28,0.8572933673858643
39,0.20536328051831265,-5453.457036024308,54261.91567234912,28,0.9617960453033447
