iteration,cv_r2,test_r2,real_cv_r2,real_test_r2
1,-0.5506646455305505,-0.4921866634607137,0.7377201051933069,0.8443351499749184
2,-0.5682396385736823,-0.4738104169643802,0.7377201051933069,0.8443351499749184
3,-0.45641458586231065,-0.6139673603221141,0.7377201051933069,0.8443351499749184
4,-0.5491401903299711,-0.5558862419766462,0.7377201051933069,0.8443351499749184
5,-0.6750987108658618,-0.6231880021248541,0.7377201051933069,0.8443351499749184
6,-0.5421999976145031,-0.5291451998589964,0.7377201051933069,0.8443351499749184
7,-0.6597489616636139,-0.5651396442976773,0.7377201051933069,0.8443351499749184
8,-0.4675598096686686,-0.2042138141006049,0.7377201051933069,0.8443351499749184
9,-0.6850987984065531,-0.6650813543832559,0.7377201051933069,0.8443351499749184
10,-0.535185556138997,-0.5432679425292561,0.7377201051933069,0.8443351499749184
11,-0.5613114563076913,-0.5585452308567236,0.7377201051933069,0.8443351499749184
12,-0.5508142016310357,-0.4971891945171669,0.7377201051933069,0.8443351499749184
13,-0.5293908360862083,-0.5878768929373592,0.7377201051933069,0.8443351499749184
14,-0.6323104657349653,-0.4928218830910327,0.7377201051933069,0.8443351499749184
15,-0.6859745580045289,-0.7589641792028778,0.7377201051933069,0.8443351499749184
16,-0.5971109259132227,-0.4557120847999847,0.7377201051933069,0.8443351499749184
17,-0.5721110797638935,-0.4346897324695713,0.7377201051933069,0.8443351499749184
18,-0.5547056325988375,-0.45419286046674245,0.7377201051933069,0.8443351499749184
19,-0.5432467245165876,-0.4183785647427716,0.7377201051933069,0.8443351499749184
20,-0.5956094399629087,-0.6040352430743907,0.7377201051933069,0.8443351499749184
21,-0.4723607997468459,-0.40056159778292866,0.7377201051933069,0.8443351499749184
22,-0.5142739393672836,-0.5494063884031641,0.7377201051933069,0.8443351499749184
23,-0.5011269290627857,-0.4928618965728162,0.7377201051933069,0.8443351499749184
24,-0.6059054730995481,-0.5596364012043415,0.7377201051933069,0.8443351499749184
25,-0.47257666612442967,-0.4794944194521016,0.7377201051933069,0.8443351499749184
26,-0.5291949359596139,-0.5773164978940211,0.7377201051933069,0.8443351499749184
27,-0.6160736284777037,-0.37241298901216235,0.7377201051933069,0.8443351499749184
28,-0.5609305963491745,-0.46872435838749493,0.7377201051933069,0.8443351499749184
29,-0.699548370431635,-0.7550376843987916,0.7377201051933069,0.8443351499749184
30,-0.5784462441326645,-0.461236560199652,0.7377201051933069,0.8443351499749184
31,-0.5904359370085001,-0.6265584277475968,0.7377201051933069,0.8443351499749184
32,-0.5043375290071094,-0.5895685881934625,0.7377201051933069,0.8443351499749184
33,-0.6195523096573806,-0.5981764121254689,0.7377201051933069,0.8443351499749184
34,-0.5757096715237917,-0.8303016978593869,0.7377201051933069,0.8443351499749184
35,-0.6659610232754353,-0.4891335364666445,0.7377201051933069,0.8443351499749184
36,-0.6547580294663522,-0.7614185357221259,0.7377201051933069,0.8443351499749184
37,-0.6260457687731937,-0.8963624068681604,0.7377201051933069,0.8443351499749184
38,-0.7135282848394844,-0.704836395051297,0.7377201051933069,0.8443351499749184
39,-0.5512494997214118,-0.4390029152520778,0.7377201051933069,0.8443351499749184
40,-0.4847486158044344,-0.6721167121398548,0.7377201051933069,0.8443351499749184
41,-0.5304509902082521,-0.5022105942726283,0.7377201051933069,0.8443351499749184
42,-0.5839712817464899,-0.683448811500029,0.7377201051933069,0.8443351499749184
43,-0.5792459699172368,-0.6231534635617877,0.7377201051933069,0.8443351499749184
44,-0.5338814016579407,-0.5556512790419752,0.7377201051933069,0.8443351499749184
45,-0.440865702729934,-0.42575482737361536,0.7377201051933069,0.8443351499749184
46,-0.5294233282610745,-0.4702472614966364,0.7377201051933069,0.8443351499749184
47,-0.5664948869707757,-0.42492970090437554,0.7377201051933069,0.8443351499749184
48,-0.44029282348891546,-0.538830361890769,0.7377201051933069,0.8443351499749184
49,-0.6122592326312055,-0.38400372174523434,0.7377201051933069,0.8443351499749184
50,-0.542008646048002,-0.6713978535889153,0.7377201051933069,0.8443351499749184
51,-0.6264991607101574,-0.5587158457323862,0.7377201051933069,0.8443351499749184
52,-0.5390654576143957,-0.6563828547374944,0.7377201051933069,0.8443351499749184
53,-0.6343441035524314,-0.7305143118496522,0.7377201051933069,0.8443351499749184
54,-0.5184390052658421,-0.5545960288251146,0.7377201051933069,0.8443351499749184
55,-0.5687921925214131,-0.4785796284809427,0.7377201051933069,0.8443351499749184
56,-0.6382105621242976,-0.5742100855913981,0.7377201051933069,0.8443351499749184
57,-0.5886080214555458,-0.6430533363933117,0.7377201051933069,0.8443351499749184
58,-0.5999691978729361,-0.3471420339022979,0.7377201051933069,0.8443351499749184
59,-0.5169455650095566,-0.3548714105972204,0.7377201051933069,0.8443351499749184
60,-0.47210873657675984,-0.772144960993647,0.7377201051933069,0.8443351499749184
61,-0.6242526610144333,-0.7967127849450171,0.7377201051933069,0.8443351499749184
62,-0.7652982423108361,-0.8391074094344002,0.7377201051933069,0.8443351499749184
63,-0.49069897035531496,-0.5051573913611558,0.7377201051933069,0.8443351499749184
64,-0.5106515060167611,-0.6509303312000423,0.7377201051933069,0.8443351499749184
65,-0.49735512195625053,-0.7037219739415963,0.7377201051933069,0.8443351499749184
66,-0.7077279893941947,-0.47435249675993707,0.7377201051933069,0.8443351499749184
67,-0.5909738228098882,-0.7074316056057961,0.7377201051933069,0.8443351499749184
68,-0.6879866395119476,-0.3236040915809091,0.7377201051933069,0.8443351499749184
69,-0.6827183691266518,-0.4690294577244447,0.7377201051933069,0.8443351499749184
70,-0.5062362542634459,-0.5221256688837772,0.7377201051933069,0.8443351499749184
71,-0.4996166888654316,-0.7480326602260337,0.7377201051933069,0.8443351499749184
72,-0.5594705285150198,-0.686486734250032,0.7377201051933069,0.8443351499749184
73,-0.5297216517565024,-0.44385392174157223,0.7377201051933069,0.8443351499749184
74,-0.5067324073408495,-0.7011027103296281,0.7377201051933069,0.8443351499749184
75,-0.5290781978560908,-0.5016528376049583,0.7377201051933069,0.8443351499749184
76,-0.5999177768670857,-0.432442135367072,0.7377201051933069,0.8443351499749184
77,-0.49560179833123674,-0.3904873095133212,0.7377201051933069,0.8443351499749184
78,-0.5348613114381666,-0.8003466541016853,0.7377201051933069,0.8443351499749184
79,-0.5192337979775491,-0.6677643143120517,0.7377201051933069,0.8443351499749184
80,-0.4837617518831646,-0.339822360180414,0.7377201051933069,0.8443351499749184
81,-0.5126423679145014,-0.4625588326526975,0.7377201051933069,0.8443351499749184
