Model,Best Params,CV Train R2,CV Val R2,Test R2,Test MAE,Test RMSE
GradientBoosting,"{'model__subsample': 0.7, 'model__n_estimators': 800, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 8, 'model__loss': 'huber', 'model__learning_rate': 0.1}",0.993578046573775,0.7377201051933069,0.8443351499749184,0.14459576583136416,0.2568495995137338
XGBRegressor,"{'model__subsample': 1.0, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0, 'model__colsample_bytree': 0.5}",0.9968469176379395,0.7311577883726523,0.8193823762805742,0.14783925406911944,0.2766710232007268
RandomForestRegressor,"{'model__n_estimators': 800, 'model__min_samples_split': 3, 'model__min_samples_leaf': 1, 'model__max_features': 0.7, 'model__max_depth': None}",0.95197778232334,0.7111624515311571,0.8438900785820177,0.15375032744572736,0.2572165250375706
MLPRegressor,"{'model__solver': 'adam', 'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (256, 128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05, 'model__activation': 'relu'}",0.8659437947356207,0.5978288645235821,0.7767161780672744,0.19620722050940206,0.3076183531260774
