Model,Best Params,CV Train R2,CV Val R2,Test R2,Test MAE,Test RMSE
GradientBoosting,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 8, 'model__loss': 'huber', 'model__learning_rate': 0.05}",0.975020602000394,0.7385739820798657,0.8519833499189866,0.14445274870983466,0.2504603018336764
XGBRegressor,"{'model__subsample': 0.9, 'model__reg_lambda': 1, 'model__reg_alpha': 0.01, 'model__n_estimators': 800, 'model__min_child_weight': 3, 'model__max_depth': 9, 'model__learning_rate': 0.03, 'model__gamma': 0.1, 'model__colsample_bytree': 1.0}",0.9450553726093999,0.72490706889601,0.8271725544563735,0.1653079984186901,0.2706387441943056
RandomForestRegressor,"{'model__n_estimators': 800, 'model__min_samples_split': 3, 'model__min_samples_leaf': 1, 'model__max_features': 0.7, 'model__max_depth': None}",0.9498888384982391,0.6991690586242896,0.8215576773542631,0.16209214476297568,0.27499990756694853
MLPRegressor,"{'model__solver': 'adam', 'model__learning_rate_init': 0.01, 'model__hidden_layer_sizes': (128, 64, 32, 16), 'model__batch_size': 64, 'model__alpha': 1e-05, 'model__activation': 'tanh'}",0.8844763620045942,0.5967283786342175,0.7475727304915601,0.22741751082009637,0.32707831286132605
