iteration,cv_r2,test_r2,real_cv_r2,real_test_r2
1,-0.22318135866800676,-0.18006509282541527,0.7385739820798657,0.8519833499189866
2,-0.29908230040246936,-0.21041002131729813,0.7385739820798657,0.8519833499189866
3,-0.1992053499733947,-0.39017799701190725,0.7385739820798657,0.8519833499189866
4,-0.29617904589039046,-0.11396492682945825,0.7385739820798657,0.8519833499189866
5,-0.2661537356222731,-0.1685123422840904,0.7385739820798657,0.8519833499189866
6,-0.2864566114995194,-0.27318556986180176,0.7385739820798657,0.8519833499189866
7,-0.25698191826303673,-0.3524206047792393,0.7385739820798657,0.8519833499189866
8,-0.24341009084634285,-0.057331805345814724,0.7385739820798657,0.8519833499189866
9,-0.2638774689855372,-0.1986404855644741,0.7385739820798657,0.8519833499189866
10,-0.25968811208901016,-0.1709199043809786,0.7385739820798657,0.8519833499189866
11,-0.2653330206692609,-0.19780430694176832,0.7385739820798657,0.8519833499189866
12,-0.3096156862264315,-0.2294934512985849,0.7385739820798657,0.8519833499189866
13,-0.2901252463040248,-0.28860289502452274,0.7385739820798657,0.8519833499189866
14,-0.30112652850679733,-0.20118962595205891,0.7385739820798657,0.8519833499189866
15,-0.31127521326561686,-0.2857696318464167,0.7385739820798657,0.8519833499189866
16,-0.2830951709355177,-0.14523577238926122,0.7385739820798657,0.8519833499189866
17,-0.27029119156859,-0.12035596732268727,0.7385739820798657,0.8519833499189866
18,-0.21709784774778682,-0.2291397783730118,0.7385739820798657,0.8519833499189866
19,-0.2221787819753847,-0.09575205932096953,0.7385739820798657,0.8519833499189866
20,-0.29484815711591694,-0.22998438988950354,0.7385739820798657,0.8519833499189866
21,-0.21390545246387208,-0.18583493950646224,0.7385739820798657,0.8519833499189866
22,-0.23928809426886827,-0.2214925280767983,0.7385739820798657,0.8519833499189866
23,-0.23121839518556725,-0.1474633329936914,0.7385739820798657,0.8519833499189866
24,-0.26285619672064153,-0.225504523513125,0.7385739820798657,0.8519833499189866
25,-0.18398354424227495,-0.19812734460275405,0.7385739820798657,0.8519833499189866
26,-0.24881352874182672,-0.32820906088666435,0.7385739820798657,0.8519833499189866
27,-0.296635031169196,-0.07378357935779412,0.7385739820798657,0.8519833499189866
28,-0.2563086373578443,-0.2026485708814023,0.7385739820798657,0.8519833499189866
29,-0.33955536035315687,-0.3314202794048562,0.7385739820798657,0.8519833499189866
30,-0.2676076659817193,-0.1303013326964868,0.7385739820798657,0.8519833499189866
31,-0.30664869877104495,-0.23721914405400835,0.7385739820798657,0.8519833499189866
32,-0.267775089626152,-0.2358691725414339,0.7385739820798657,0.8519833499189866
33,-0.2955582384839647,-0.2859872834942494,0.7385739820798657,0.8519833499189866
34,-0.26063465102755806,-0.3688356365769667,0.7385739820798657,0.8519833499189866
35,-0.3356855784333088,-0.21204999193931195,0.7385739820798657,0.8519833499189866
36,-0.2936999581998914,-0.2825050852678783,0.7385739820798657,0.8519833499189866
37,-0.328619919367421,-0.3117978090537896,0.7385739820798657,0.8519833499189866
38,-0.2896874479591585,-0.14362103513177527,0.7385739820798657,0.8519833499189866
39,-0.26471204032367995,-0.20236566296541803,0.7385739820798657,0.8519833499189866
40,-0.19244252035736475,-0.38119301283838003,0.7385739820798657,0.8519833499189866
41,-0.3104279600423156,-0.2347424769105373,0.7385739820798657,0.8519833499189866
42,-0.2434368611396029,-0.30219221595048107,0.7385739820798657,0.8519833499189866
43,-0.26332745983992106,-0.23650127273184585,0.7385739820798657,0.8519833499189866
44,-0.23815549465795094,-0.19561357086382314,0.7385739820798657,0.8519833499189866
45,-0.2334613954600017,-0.16066280064226057,0.7385739820798657,0.8519833499189866
46,-0.2831463166749498,-0.23669124702822364,0.7385739820798657,0.8519833499189866
