feature,mi_score,rank
VSA_EState2_1,0.07633497441007764,151
NumAromaticCarbocycles_1,0.07580114122933024,152
VSA_EState3_2,0.07320009303139363,153
SlogP_VSA8_1,0.07283046863266818,154
fr_benzene_1,0.07231850096905479,155
PEOE_VSA7_2,0.07190971718291284,156
NHOHCount_2,0.07190551514251453,157
EState_VSA8_2,0.0687980094276246,158
PEOE_VSA13_1,0.0687598690497655,159
NOCount_1,0.06874118684461905,160
PEOE_VSA10_1,0.0646072492016736,161
VSA_EState5_2,0.06352026429272861,162
Topological_Similarity,0.06244398012517305,163
NumHeteroatoms_2,0.06217925385962131,164
PEOE_VSA5_1,0.05697223859189249,165
NumHDonors_2,0.05637579334925391,166
fr_phenol_noOrthoHbond_1,0.054925145918833795,167
SMR_VSA2_1,0.05488768738068606,168
SlogP_VSA3_1,0.052936501787264945,169
NumHAcceptors_2,0.052150532348416156,170
NumAromaticRings_2,0.05168832738831286,171
PEOE_VSA3_2,0.05148175617862827,172
NOCount_2,0.05062854333124278,173
SlogP_VSA1_1,0.04927697723308144,174
VSA_EState9_1,0.04877694078628103,175
SMR_VSA9_1,0.04826557810121579,176
fr_Ar_OH_1,0.047639080587740024,177
fr_allylic_oxid_1,0.04714998961936967,178
fr_ether_2,0.04687924188230985,179
SMR_VSA6_2,0.04633769550340894,180
Delta_RotBonds,0.04613798501442634,181
fr_allylic_oxid_2,0.045753708792211745,182
Delta_HBD,0.04536120364683649,183
fr_ether_1,0.04520915377897561,184
PEOE_VSA5_2,0.045118741503359816,185
SlogP_VSA3_2,0.044686454772944195,186
NumAromaticCarbocycles_2,0.04427430559759982,187
fr_benzene_2,0.04374410490071323,188
fr_phenol_1,0.042748413445775624,189
SlogP_VSA11_1,0.04230142934683112,190
PEOE_VSA12_2,0.04090732605473146,191
RingCount_2,0.03940912427689769,192
EState_VSA10_1,0.03889061166147023,193
SlogP_VSA4_1,0.037720365334670714,194
fr_halogen_2,0.03700986373218429,195
SlogP_VSA8_2,0.03682776114369268,196
VSA_EState9_2,0.03619600602467443,197
fr_Al_OH_2,0.034406172408806945,198
NumHDonors_1,0.03344959061849595,199
Ipc_2,0.031568654958750386,200
SlogP_VSA4_2,0.030871226250151818,201
fr_nitrile_2,0.030785072443806127,202
fr_C_O_noCOO_2,0.030600728509498243,203
fr_ester_2,0.030592772133394286,204
PEOE_VSA12_1,0.027408463275187867,205
PEOE_VSA10_2,0.027383244932330353,206
NumAliphaticHeterocycles_1,0.026880855428787376,207
VSA_EState10_2,0.025466108847671975,208
PEOE_VSA4_2,0.025260569550430656,209
fr_Al_OH_1,0.02481908334989802,210
SlogP_VSA12_1,0.02448968266911211,211
EState_VSA4_2,0.02399490427620088,212
SlogP_VSA7_1,0.02396691053037081,213
Ipc_1,0.023870485444133394,214
NHOHCount_1,0.023647669416200667,215
SMR_VSA6_1,0.023607696818558566,216
PEOE_VSA14_2,0.02334588782645164,217
fr_thiophene_1,0.023297815931041965,218
SlogP_VSA12_2,0.022884118426492073,219
fr_methoxy_2,0.021175147622810142,220
fr_C_O_noCOO_1,0.020804430420184872,221
SMR_VSA4_1,0.02063183436944449,222
fr_alkyl_halide_2,0.01972860156798495,223
PEOE_VSA2_1,0.01918707719472801,224
fr_C_O_2,0.018667074057648225,225
fr_epoxide_2,0.018621293431761332,226
InvT_x_HBMatch,0.017939885058330773,227
EState_VSA10_2,0.0176554671936473,228
fr_pyridine_1,0.01736904396260397,229
fr_NH0_2,0.01682134556151671,230
NumAliphaticRings_1,0.016322654685701155,231
fr_ketone_2,0.015938809651095287,232
VSA_EState10_1,0.015213719304616458,233
fr_para_hydroxylation_1,0.014379868364376547,234
NumAliphaticCarbocycles_2,0.014241030942282462,235
PEOE_VSA13_2,0.013860569160679015,236
NumAliphaticHeterocycles_2,0.01322794907517566,237
fr_Ar_N_2,0.013157293575632556,238
PEOE_VSA4_1,0.013117945060506786,239
fr_ketone_Topliss_2,0.012835987777428004,240
PEOE_VSA2_2,0.012746520664477234,241
PEOE_VSA3_1,0.012275919163486027,242
NumSaturatedCarbocycles_2,0.01166386639437289,243
fr_ArN_2,0.01130543284138219,244
fr_halogen_1,0.01093651705087173,245
NumAromaticHeterocycles_1,0.010749733228724967,246
fr_NH0_1,0.010649116224234367,247
SMR_VSA4_2,0.010414833279910551,248
NumSaturatedHeterocycles_1,0.01032219730982753,249
fr_phenol_2,0.010251938647385384,250
fr_C_O_1,0.0101581448129755,251
fr_Al_COO_1,0.009993086376663296,252
SlogP_VSA1_2,0.009816509007353647,253
SMR_VSA9_2,0.009728546628590795,254
NumSaturatedHeterocycles_2,0.009726087582520249,255
fr_aldehyde_1,0.0096056046923918,256
fr_phenol_noOrthoHbond_2,0.009154100302380286,257
HB_Match,0.009148783277844075,258
NumSaturatedRings_1,0.008563771089290073,259
fr_COO_1,0.00812407195150211,260
PEOE_VSA11_2,0.00808916770603929,261
fr_ester_1,0.007780177495754881,262
SlogP_VSA10_2,0.007752848244023447,263
NumAliphaticCarbocycles_1,0.007538617791287061,264
fr_COO_2,0.007381390562530177,265
NumSaturatedCarbocycles_1,0.007319714141974076,266
fr_bicyclic_2,0.0071144204005166856,267
SlogP_VSA7_2,0.0066966030081037076,268
fr_C_S_1,0.006618231026705779,269
fr_Al_COO_2,0.006604587642105919,270
fr_aryl_methyl_2,0.006342256326429041,271
NumAromaticHeterocycles_2,0.006091869486259727,272
fr_amide_1,0.005987100849985882,273
SMR_VSA3_1,0.0056265112680262686,274
NumAliphaticRings_2,0.005451843009640189,275
fr_ketone_1,0.0053398151684413975,276
PEOE_VSA14_1,0.0052142694330483685,277
fr_nitro_2,0.005107370456671534,278
fr_methoxy_1,0.00492213709857392,279
fr_COO2_2,0.004799962029919946,280
fr_NH2_2,0.004594460937298983,281
fr_priamide_2,0.00397115646255175,282
fr_imidazole_2,0.0035370208213585386,283
