run,seed,val_loss,R2,MAE,RMSE
1,42,0.13547204434871674,0.7667063680943647,0.19296903182748285,0.31443802242898605
2,49,0.13125412166118622,0.7945014102626244,0.18329696413380572,0.29511279344427777
3,56,0.1282488852739334,0.783369846742704,0.18798587950372,0.3030003063474581
4,63,0.13310593366622925,0.7591677429592926,0.19265314879170262,0.3194779889909242
5,70,0.12590837478637695,0.771994966376926,0.1904377598248659,0.3108535500975154
6,77,0.1253863424062729,0.783183294705067,0.187445434740492,0.3031307433149837
7,84,0.1393655389547348,0.7789768195433182,0.19344848601978437,0.30605714740507145
8,91,0.12330545485019684,0.7915737232176736,0.17910331552596412,0.29720755803648213
