run,seed,val_loss,R2,MAE,RMSE
1,42,0.31878945231437683,0.6979362178753028,0.20988236285085218,0.35779390824490503
2,49,0.3328278958797455,0.7493952970102937,0.20080629044846324,0.32589539409406754
3,56,0.31647637486457825,0.7653019200803711,0.1943045428044054,0.31538307440090413
4,63,0.3061393201351166,0.748790906653013,0.19464237740955168,0.3262881429451246
5,70,0.32933661341667175,0.7218419408015834,0.21277603131069694,0.3433439805741365
6,77,0.3370082676410675,0.699704869533956,0.20968343517727825,0.3567448883622154
7,84,0.31802329421043396,0.7304704294664053,0.1989957419216082,0.3379767486933973
8,91,0.32947656512260437,0.7153594513086924,0.2161980415574285,0.34732176399404696
