iteration,test_r2,best_val_loss,epochs,failed,real_test_r2
1,-0.021487167556401454,0.29984942078590393,57,0,0.7667063680943647
2,-0.05744414494216943,0.3030436635017395,46,0,0.7667063680943647
3,-0.05943117190361158,0.29696959257125854,49,0,0.7667063680943647
4,-0.08668484666521326,0.29602447152137756,49,0,0.7667063680943647
5,-0.03695757371443431,0.3016735315322876,43,0,0.7667063680943647
6,-0.004402903500225985,0.30293285846710205,55,0,0.7667063680943647
7,-0.04343796933539967,0.299753874540329,45,0,0.7667063680943647
8,-0.012928441527703116,0.29903149604797363,48,0,0.7667063680943647
9,-0.01696964395143241,0.3048155903816223,46,0,0.7667063680943647
10,-0.03875457160267293,0.3047945201396942,52,0,0.7667063680943647
11,-0.04183209043584446,0.30727773904800415,56,0,0.7667063680943647
12,-0.047431153566917184,0.307293564081192,45,0,0.7667063680943647
13,-0.05185269320475272,0.3026088774204254,49,0,0.7667063680943647
14,-0.046833604725450284,0.30527263879776,52,0,0.7667063680943647
15,-0.05163280483741928,0.30601754784584045,45,0,0.7667063680943647
16,-0.0243389675264718,0.29790350794792175,46,0,0.7667063680943647
17,-0.008833047366194169,0.2959860861301422,54,0,0.7667063680943647
18,-0.06015136001906729,0.304708868265152,50,0,0.7667063680943647
19,-0.09059281143198183,0.3012970983982086,50,0,0.7667063680943647
20,-0.05397512704488738,0.2995678782463074,52,0,0.7667063680943647
21,-0.0572389837801337,0.3011927902698517,46,0,0.7667063680943647
22,-0.05201167656287109,0.30195605754852295,53,0,0.7667063680943647
23,-0.01457403912748556,0.30899789929389954,48,0,0.7667063680943647
24,-0.012579121022606943,0.3014056980609894,42,0,0.7667063680943647
25,-0.010734185382504924,0.3033824861049652,43,0,0.7667063680943647
26,-0.03408661994157991,0.2977301776409149,51,0,0.7667063680943647
27,-0.06506878961605911,0.30990028381347656,48,0,0.7667063680943647
28,-0.04289606456013173,0.3041810095310211,49,0,0.7667063680943647
29,-0.05306534861575396,0.3087548315525055,54,0,0.7667063680943647
30,-0.04096832033300113,0.29672330617904663,49,0,0.7667063680943647
31,-0.036130873499005345,0.304304838180542,54,0,0.7667063680943647
32,-0.03302977258853623,0.30862754583358765,49,0,0.7667063680943647
33,-0.09138589491632443,0.29787904024124146,52,0,0.7667063680943647
34,-0.06268294998177804,0.3049563765525818,42,0,0.7667063680943647
35,-0.006585571822012692,0.3014492690563202,54,0,0.7667063680943647
36,0.029783001651235153,0.30331993103027344,54,0,0.7667063680943647
37,-0.03488316625032195,0.30329370498657227,44,0,0.7667063680943647
38,-0.051011327883446755,0.30597737431526184,48,0,0.7667063680943647
39,-0.02098877891255757,0.3014289140701294,55,0,0.7667063680943647
40,-0.01653156301108938,0.3050268888473511,46,0,0.7667063680943647
41,-0.04531849066940685,0.30514758825302124,40,0,0.7667063680943647
42,-0.04060923937053551,0.29935750365257263,47,0,0.7667063680943647
43,-0.05250710740909592,0.3014809787273407,46,0,0.7667063680943647
44,-0.006393390610238692,0.2985382378101349,51,0,0.7667063680943647
45,-0.037374091915166385,0.29683613777160645,48,0,0.7667063680943647
