Model,Best Params,CV Train R2,CV Val R2,Test R2,Test MAE,Test RMSE
GradientBoosting,"{'model__subsample': 0.7, 'model__n_estimators': 800, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 8, 'model__loss': 'huber', 'model__learning_rate': 0.1}",0.9961508200453781,0.7463980953610119,0.8538464835512931,0.1426057415447008,0.24887899740829333
XGBRegressor,"{'model__subsample': 1.0, 'model__reg_lambda': 0.1, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__gamma': 0, 'model__colsample_bytree': 0.5}",0.9980275224588006,0.7352200931371924,0.8199535423139923,0.15040074857172733,0.27623321924781885
RandomForestRegressor,"{'model__n_estimators': 800, 'model__min_samples_split': 3, 'model__min_samples_leaf': 1, 'model__max_features': 0.7, 'model__max_depth': None}",0.9525875918924417,0.7118741315934769,0.8199694109226248,0.16062937679211017,0.2762210459079682
MLPRegressor,"{'model__solver': 'adam', 'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128, 64, 32, 16), 'model__batch_size': 32, 'model__alpha': 0.05, 'model__activation': 'tanh'}",0.826199202369768,0.6213829010395348,0.7505866911919926,0.19781627487120051,0.32511980521206846
