run,seed,val_loss,R2,MAE,RMSE
1,42,0.36474284529685974,0.7039502662737753,0.21706274714997956,0.3542141869468004
2,49,0.3208954334259033,0.740582974140644,0.20721712276873627,0.3315758198251384
3,56,0.34141209721565247,0.6717638369098491,0.2099579440248767,0.3729725138886317
4,63,0.36472123861312866,0.6780141527262604,0.22592056640886096,0.3694043502653194
5,70,0.3551948070526123,0.7297810837105468,0.21220395526697514,0.33840867543609926
6,77,0.3358277380466461,0.6693683561972563,0.21340747270448004,0.3743310239786625
7,84,0.33177489042282104,0.7423231118477951,0.2040382724082809,0.3304618635718678
8,91,0.35168808698654175,0.7203128702163393,0.21324728407290822,0.34428639019706103
